Col1,Col2,Col3,Col4
740,DSeE0g2qPU,YzZWZyyD9F,true
550,u3dPkssLd7,v46Dv1Nzzk,true
358,uMZZgb7RaG,tlxr1tLsLq,false
994,5ZlJHsmwFG,Cia8sZwWP9,false
874,07fa0tkdIh,xQTQbjqi23,false
136,mDZSXUsoMC,YTBhDxcIFV,true
331,zxfTyyG3J2,dtvGUkjvvl,true
74,5BRE3QHR7G,lXn2iv8j2T,false
927,0c2ZOaGTsA,DpslaevVTy,true
785,cHkGSHxw14,QT3VlXURA5,true
753,YCm1TueeJ8,jBlnGgDr9Y,true
300,DtrAwbtg7h,thDNIrMvgP,true
842,ussrt2g4Ml,snwIVcgHNV,false
977,UTIJcjlCDe,TgC2WtxU9Y,true
297,DIFt1QnQ7p,NsosbQ0dOg,false
356,OF6A8QlDJE,lCXR3Tw1DP,false
638,1AnTds1U6V,KCK5zgCOQw,true
524,2ogam59XDt,fWc8MoDWRr,false
164,8IDqKjnYH5,4SvYRVwu36,true
996,LzVJlxUiE5,w34suya94f,true
901,F2LwBiSTsN,kXBOMJWf3A,true
493,tCF94LpJLi,QfxRuMjcAk,true
790,VAoGVuSCPm,WBfw2D9uDU,true
796,19DWLBCyfI,vjAZreULSj,true
756,3zhptB8X5R,aOdRQPYAL7,false
796,KyLGFeftaF,zSGfa8bHRZ,false
794,9aYSM3s4zh,niX8vAjrHc,true
956,HF9cExKyEP,E70P9mGtS6,true
361,MomSd7v7FJ,EglHh35hcR,true
887,GdzaO2JFZj,fXdkb5nXOe,false
